v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
102.3,,Aug-19,Aug-19,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
102.6,,Sep-19,Sep-19,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
102.5,,Oct-19,Oct-19,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
101.6,,Nov-19,Nov-19,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
100.5,,Dec-19,Dec-19,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
102.3,,Jan-20,Jan-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
101.4,,Feb-20,Feb-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
110.7,,Mar-20,Mar-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
107.2,,Apr-20,Apr-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
108.2,,May-20,May-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
107.5,,Jun-20,Jun-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
104.9,,Jul-20,Jul-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
106.4,,Aug-20,Aug-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
107.3,,Sep-20,Sep-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
106.0,,Oct-20,Oct-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
108.1,,Nov-20,Nov-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
104.8,,Dec-20,Dec-20,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
107.7,,Jan-21,Jan-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
108.6,,Feb-21,Feb-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
110.8,,Mar-21,Mar-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
109.7,,Apr-21,Apr-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
103.9,,May-21,May-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
107.4,,Jun-21,Jun-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
106.5,,Jul-21,Jul-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
105.5,,Aug-21,Aug-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
104.8,,Sep-21,Sep-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
105.1,,Oct-21,Oct-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
103.8,,Nov-21,Nov-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
105.1,,Dec-21,Dec-21,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
101.9,,Jan-22,Jan-22,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
100.9,,Feb-22,Feb-22,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
101.4,,Mar-22,Mar-22,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
100.8,,Apr-22,Apr-22,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.3,,May-22,May-22,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
100.7,,Jun-22,Jun-22,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
102.0,,Jul-22,Jul-22,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
